이상치_주소,결측치_상권
서울특별시 성동구 마장로39길 34,마장동
서울특별시 성동구 고산자로18길 5-1,마장동
서울 성동구 아차산로13길 48.,성수
서울 성동구 마장로25길 11-2.,마장동
서울 성동구 마장로39가길 61.,마장동
서울 성동구 마조로19길 23,왕십리
서울 성동구 고산자로8가길 12,왕십리
서울특별시 성동구 무학로 33,왕십리
서울특별시 성동구 동일로 123,성수
서울특별시 성동구 마장로39나길 14,마장동
서울특별시 성동구 광나루로11길 20,성수
서울 성동구 마장로39길 14.,마장동
서울특별시 성동구 행당로1길 8,행당
서울특별시 성동구 광나루로11길 6,성수
서울특별시 성동구 고산자로2길 10-5,왕십리
서울특별시 성동구 광나루로11길 26,성수
서울특별시 성동구 성수일로1길 12-12,뚝섬
서울특별시 성동구 성수이로22길 37,성수
서울특별시 성동구 뚝섬로17가길 48,성수
서울 성동구 송정12나길 20,장한평자동차
서울특별시 성동구 광나루로11길 3,성수
서울특별시 성동구 아차산로15길 10,뚝섬
서울 성동구 고산자로8길 22.,왕십리
서울특별시 성동구 송정4가길 65,장한평자동차
서울특별시 성동구 뚝섬로15길 29-1,뚝섬
서울특별시 성동구 광나루로11길 52-1,성수
서울특별시 성동구 고산자로6가길 21,한양대
서울특별시 성동구 동일로 75,성수
서울특별시 성동구 광나루로6길 35,성수
서울특별시 성동구 연무장15길 11,성수
서울특별시 성동구 성수일로1길 18,뚝섬
서울특별시 성동구 행당로1길 22,행당
서울특별시 성동구 왕십리로31가길 10-2,왕십리
서울 성동구 아차산로13길 37.,성수
서울특별시 성동구 무학로 26,왕십리
서울특별시 성동구 송정12마길 23,장한평자동차
서울특별시 성동구 동일로 143,건대입구
서울특별시 성동구 연무장17길 14,성수
서울특별시 성동구 아차산로13길 2,성수
서울특별시 성동구 뚝섬로1가길 14,뚝섬
서울특별시 성동구 연무장17길 5,성수
서울특별시 성동구 성수일로1길 10,뚝섬
서울특별시 성동구 뚝섬로15길 29,뚝섬
서울특별시 성동구 연무장19길 10,성수
서울특별시 성동구 왕십리로33길 8,왕십리
서울 성동구 무학로 10-1,왕십리
서울특별시 성동구 독서당로62길 22-11,행당
서울특별시 성동구 아차산로17길 11,성수
서울특별시 성동구 동일로 263,장한평자동차
서울특별시 성동구 송정6길 5,장한평자동차
서울 성동구 아차산로13길 37,성수
서울특별시 성동구 송정18가길 31-1,장한평자동차
서울특별시 성동구 아차산로17길 48,성수
서울특별시 성동구 성수일로1길 13,뚝섬
서울특별시 성동구 뚝섬로17길 29,뚝섬
서울 성동구 연무장15길 11.,성수
서울특별시 성동구 성수이로18길 31,성수
서울특별시 성동구 광나루로11길 7,성수
서울특별시 성동구 왕십리로33길 3,왕십리
서울 성동구 동일로 143.,성수
서울특별시 성동구 연무장18길 14,성수
서울특별시 성동구 왕십리로31길 21,왕십리
서울특별시 성동구 성수이로26길 47,성수
서울특별시 성동구 아차산로13길 16,성수
서울특별시 성동구 아차산로13길 33,성수
서울특별시 성동구 청계천로 450,동대문역사문화공원역
서울특별시 성동구 광나루로9길 2,성수
서울특별시 성동구 왕십리로31길 6,왕십리
서울 성동구 사근동11길,한양대
서울특별시 성동구 광나루로11길 23,성수
서울 성동구 광나루로6길 35.,성수
서울  성동구  광나루로6길,성수
서울특별시 성동구 마조로15길 16,왕십리
서울특별시 성동구 아차산로13길 37,성수
서울특별시 성동구 광나루로11길 54,성수
